scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s2,11,17780.631695194905,38260.631695194905,0.14413919413919413,195.0,10,6.0
s2,12,23574.431983443217,41254.43198344322,0.1451388888888889,127.0,10,3.4
s2,13,27031.660500842052,44831.66050084205,0.18612637362637363,264.0,13,0.0
s2,14,32095.806936469176,48695.80693646918,0.16307692307692306,98.0,9,1.8888888888888888
s2,15,26401.98588178175,42761.98588178175,0.24636752136752138,239.0,12,4.5
s2,16,15513.429606471436,33233.429606471436,0.1342948717948718,74.0,8,5.5
s2,17,26576.779136430574,45456.779136430574,0.12075320512820513,113.0,11,0.2727272727272727
s2,18,16756.618245534642,35276.61824553464,0.2155448717948718,281.0,11,1.1818181818181819
s2,19,36916.442791621754,56216.442791621754,0.2110576923076923,310.0,14,3.4285714285714284
s2,20,32651.10375642636,49271.10375642636,0.20838675213675215,143.0,11,2.8181818181818183
s3,1,-10753.697563776965,7006.302436223035,0.15576923076923077,16.0,7,1.5714285714285714
s3,2,-4101.322912607517,12938.677087392483,0.15683760683760684,0.0,7,0.0
s3,3,-4988.586718712526,14011.413281287474,0.15711538461538463,42.0,11,6.7272727272727275
s3,4,-4330.679693265836,15969.320306734164,0.1856570512820513,29.0,9,2.6666666666666665
s3,5,124.48395255294963,17324.48395255295,0.21666666666666667,0.0,3,7.0
s3,6,-2092.76380765429,16527.23619234571,0.16111111111111112,53.0,6,2.6666666666666665
s3,7,5561.314241536886,23721.314241536886,0.14369658119658119,75.0,10,5.6
s3,8,10839.83481981336,26639.83481981336,0.2858974358974359,18.0,8,3.125
s3,9,-23.24618021804781,16776.753819781952,0.15384615384615385,0.0,4,0.5
s3,10,4730.094586371353,22070.094586371353,0.19583333333333333,48.0,7,5.142857142857143
s3,11,-10364.131801880121,7835.868198119879,0.30993589743589745,0.0,5,6.0
s3,12,-533.7608130145563,17906.239186985444,0.184375,47.0,10,3.9
s3,13,-9036.197679977111,7763.802320022888,0.1594551282051282,47.0,8,6.0
s3,14,-1583.58907143764,16476.41092856236,0.14205128205128206,72.0,9,0.7777777777777778
s3,15,-3140.5777227978815,14939.422277202118,0.21068376068376068,99.0,7,1.2857142857142858
s3,16,2068.296782640198,19628.2967826402,0.21314102564102563,105.0,12,2.5833333333333335
s3,17,-2850.541867987782,13649.458132012218,0.175,0.0,4,5.0
s3,18,632.4115109375707,19732.41151093757,0.19252136752136753,23.0,7,0.0
s3,19,15841.689292990224,33321.689292990224,0.17099358974358975,44.0,8,1.75
s3,20,2664.9602691451255,22364.960269145125,0.14435897435897435,45.0,9,1.5555555555555556
s4,1,-7082.604863408684,11997.395136591316,0.13376068376068376,58.0,4,0.0
s4,2,-6039.022129402816,12080.977870597184,0.1951121794871795,73.0,7,3.5714285714285716
s4,3,-7229.746402940036,10930.253597059964,0.14791666666666667,0.0,4,2.75
s4,4,-7748.049246783739,12031.95075321626,0.15897435897435896,28.0,4,2.75
s4,5,2237.743202840731,19637.74320284073,0.15427350427350428,27.0,5,0.0
s4,6,2973.560019330984,24253.560019330984,0.18653846153846154,85.0,12,1.6666666666666667
s4,7,-3297.446129091204,16402.553870908796,0.1483974358974359,82.0,6,0.0
s4,8,1707.7315451159193,21927.73154511592,0.16564102564102565,75.0,9,0.5555555555555556
s4,9,-7446.623090109024,11253.376909890976,0.15384615384615385,0.0,2,0.0
s4,10,-5912.850569145761,16807.14943085424,0.13786630036630038,101.0,11,1.3636363636363635
s4,11,-7569.076066937698,12330.923933062302,0.15916666666666668,70.0,10,0.0
s4,12,-404.1892254772647,19995.810774522735,0.12307692307692308,55.0,7,4.714285714285714
s4,13,-2972.7085716639194,17327.29142833608,0.1283653846153846,50.0,6,0.0
s4,14,-8611.848582276085,10548.151417723915,0.14447115384615383,29.0,8,1.25
s4,15,-6705.26348397698,12694.73651602302,0.18493589743589745,60.0,7,4.285714285714286
s4,16,-2539.5474131217998,17080.4525868782,0.18596153846153846,75.0,11,1.0
s4,17,-15001.710367331048,4158.2896326689515,0.11217948717948718,55.0,2,0.0
s4,18,13287.733514270469,32327.73351427047,0.14358974358974358,77.0,8,0.0
s4,19,-3104.472433765488,16955.527566234512,0.2201923076923077,122.0,13,3.3076923076923075
s4,20,-50.45003239847938,18209.54996760152,0.1830128205128205,69.0,8,3.25
s5,1,33254.48774257919,51234.48774257919,0.09166666666666666,154.0,11,0.0
s5,2,23274.59779668195,41654.59779668195,0.12788461538461537,201.0,11,1.9090909090909092
s5,3,38264.5662547909,55644.5662547909,0.14285714285714285,196.0,13,6.230769230769231
s5,4,29158.19628106503,47538.19628106503,0.10100732600732601,222.0,10,1.3
s5,5,39904.53356178882,58424.53356178882,0.11770833333333333,171.0,14,1.5714285714285714
