Fra Station:,Aalborg,Aalborg Lufthavn,Aalborg Vestby,Aarhus H,Aarup,Albertslund,Alken,Allerød,Arden,Aulum,Avedøre,Bagsværd,Ballerup,Bedsted Thy,Bernstorffsvej,Birk Centerpark,Birkerød,Bispebjerg,Bjerringbro,Bording,Borris,Borup,Bramming,Brande,Bred,Bredebro,Brejning,Brøndby Strand,Brøndbyøster,Brønderslev,Brøns,Brørup,Buddinge,Bur,Børkop,Carlsberg,Charlottenlund,Danshøj,Dybbølsbro,Dyssegård,Døstrup Sdj,Egedal,Ejby,Emdrup,Engesvang,Esbjerg,Eskilstrup,Espergærde,Farum,Favrholm Station,Flintholm,Fredericia,Frederikshavn,Frederikssund,Friheden,Fruens Bøge,Fuglebakken,Gadstrup,Gelsted,Gentofte,Give,Gjesing,Glostrup,Glumsø,Gredstedbro,Greve,Gråsten,Grøndal,Guldager,Gårde,Gødstrup,Gørding,Hadsten,Hammerum,Hareskov,Haslev,Havdrup,Hedehusene,Hedensted,Hee,Hellerup,Helsingør,Herfølge,Herlev,Herning,Herning Messecenter,Hillerød,Hinnerup,Hjallese,Hjerm,Hjørring,Hjørring Øst,Hobro,Holbæk,Holme-Olstrup,Holmstrup,Holstebro,Holsted,Holte,Horsens,Humlebæk,Humlum,Hundige,Hurup Thy,Husum,Hvalsø,Hvidbjerg,Hviding,Hvidovre,Højby,Høje Taastrup,Højslev,Hørdum,Hørning,Høvelte,Ikast,Ishøj,Islev,Jelling,Jerne,Jersie,Jyderup,Jyllingevej,Jægersborg,KB Hallen,Kalundborg,Kalundborg Øst,Karlslunde,Kauslunde,Kibæk,Kildebakke,Kildedal,Klampenborg,Kliplev,Knabstrup,Kokkedal,Kolding,Korsør,Kvissel,Kværndrup,København H,København Syd (Ny Ellebjerg),"Københavns Lufthavn, Kastrup",Køge,Køge Nord,Langeskov,Langgade,Langå,Laven,Lejre,Lem,Lille Skensved,Lindholm,Lundby,Lunderskov,Lyngby,Lyngs,Malmparken,Middelfart,Måløv,Mørkøv,Nivå,Nordhavn,Nyborg,Nykøbing F,Næstved,Næstved Nord,Nørre Aaby,Nørre Alslev,Nørrebro,Nørreport,Oddesund Nord,Odense,Odense Sygehus,Ordrup,Padborg,Pederstrup,Peter Bangs Vej,Randers,Regstrup,Rejsby,Ribe,Ribe Nørremark,Ringe,Ringkøbing,Ringsted,Roskilde,Roskilde Festivalsplads,Rudme,Rungsted Kyst,Ry,Ryparken,Rødekro,Rødkærsbro,Rødovre,Sejstrup,Sig,Silkeborg,Sindal,Sjælør,Sjørring,Skalbjerg,Skalborg,Skanderborg,Skive,Skjern,Skodsborg,Skovbrynet,Skovlunde,Skærbæk,Skørping,Slagelse,Snedsted,Snekkersten,Solrød Strand,Sorgenfri,Sorø,Spangsbjerg,Sparkær,Stengården,Stenløse,Stenstrup,Stenstrup Syd,Stoholm,Struer,Studsgård,Støvring,Svanemøllen,Svebølle,Svejbæk,Svendborg,Svendborg Vest,Svenstrup,Sydhavn,Sønderborg,Taastrup,Tarm,Taulov,Thisted,Thyregod,Tim,Tinglev,Tistrup,Tjæreborg,Tolne,Tommerup,Trekroner,Troldhede,Tureby,Tårnby,Tølløse,Tønder,Tønder Nord,Uglev,Ulfborg,Ulstrup,Valby,Vallensbæk,Vamdrup,Vangede,Vanløse,Varde,Varde Kaserne,Varde Nord,Vedbæk,Vejen,Vejle,Vejle Sygehus,Veksø,Vemb,Vesterport,Viborg,Viby J,Viby Sj,Vigerslev Allé,Vildbjerg,Vinderup,Vinge,Vipperød,Virum,Visby,Vojens,Vordingborg,Vrå,Værløse,Ydby,Ålholm,Åmarken,Årslev,Ølby,Ølgod,Ølstykke,Ørestad,Østerport
København H,60909,345,874,246956,2511,-1,260,-1,982,1226,-1,-1,-1,62,-1,64,-1,-1,690,74,37,-1,22845,5415,257,44,1314,-1,-1,458,8,1196,-1,0,1576,-1,-1,-1,-1,-1,64,-1,1135,-1,226,71447,2208,-1,-1,-1,-1,66816,821,-1,-1,384,-1,-1,936,-1,2530,19,-1,12777,68,-1,6296,-1,35,8,369,198,3527,92,-1,35583,-1,-1,2698,2,-1,-1,-1,-1,35121,56,-1,1659,1271,230,1424,66,12331,238682,4681,685,17281,890,-1,49328,-1,25,-1,234,-1,-1,118,144,-1,290,-1,174,73,293,-1,1121,-1,-1,2987,26,-1,20468,-1,-1,-1,53088,15145,-1,50,38,-1,-1,-1,1208,4100,-1,74908,49684,39,949,-1,-1,-1,-1,-1,6665,-1,15560,243,-1,18,-1,1266,3665,3599,-1,2,-1,40383,-1,7425,-1,-1,193284,80792,202875,2030,2949,5635,-1,-1,0,568503,2287,-1,2323,80,-1,21444,7583,221,1256,227,3383,193,223549,-1,-1,292,-1,1815,-1,19268,124,-1,1,44,8772,228,-1,190,195,252,60224,2137,485,-1,-1,-1,527,2526,228301,230,-1,-1,-1,80308,24,6,-1,-1,1088,91,160,15509,23,1581,-1,6125,854,8552,3583,820,-1,25305,-1,297,341,1047,1077,4,7921,34,79,11,2912,-1,45,-1,-1,42888,256,112,27,26,151,-1,-1,2173,-1,-1,1305,117,18,-1,13987,86443,272,-1,21,-1,3998,846,-1,-1,2092,112,-1,9597,-1,30,14130,59715,222,-1,37,-1,-1,1330,-1,165,-1,-1,-1
København Syd (Ny Ellebjerg),467,0,16,2808,117,-1,5,-1,23,6,-1,-1,-1,0,-1,0,-1,-1,2,0,0,-1,210,40,5,0,63,-1,-1,3,0,93,-1,0,38,-1,-1,-1,-1,-1,0,-1,35,-1,0,441,49,-1,-1,-1,-1,1750,10,-1,-1,37,-1,-1,27,-1,25,0,-1,281,0,-1,28,-1,0,1,4,7,73,0,-1,6016,-1,-1,42,0,-1,-1,-1,-1,250,0,-1,22,32,20,13,0,172,909,769,12,104,53,-1,673,-1,0,-1,0,-1,-1,0,4,-1,94,-1,4,0,7,-1,14,-1,-1,19,0,-1,486,-1,-1,-1,326,346,-1,9,0,-1,-1,-1,9,4,-1,695,1802,0,0,-1,-1,-1,-1,-1,1117,-1,194,10,-1,0,-1,6,103,71,-1,0,-1,1467,-1,39,-1,-1,9760,4120,14898,714,230,226,-1,-1,0,12584,77,-1,21,0,-1,215,69,4,10,6,98,0,18456,-1,-1,14,-1,20,-1,153,4,-1,0,0,98,0,-1,0,6,7,819,68,0,-1,-1,-1,12,56,10652,0,-1,-1,-1,4786,1,0,-1,-1,47,10,7,125,0,59,-1,21,1,167,60,20,-1,141,-1,0,4,5,20,0,59,0,1,0,128,-1,0,-1,-1,-1,4,0,0,0,6,-1,-1,19,-1,-1,16,0,0,-1,125,1541,0,-1,4,-1,58,6,-1,-1,15,0,-1,-1,-1,0,62,3275,0,-1,0,-1,-1,78,-1,0,-1,-1,-1
"Københavns Lufthavn, Kastrup",6889,109,215,41008,234,-1,11,-1,70,158,-1,-1,-1,6,-1,11,-1,-1,59,18,0,-1,1875,441,28,8,83,-1,-1,78,0,129,-1,0,168,-1,-1,-1,-1,-1,0,-1,159,-1,12,7728,138,-1,-1,-1,-1,12420,80,-1,-1,81,-1,-1,123,-1,222,3,-1,2012,11,-1,696,-1,0,0,17,27,451,17,-1,1725,-1,-1,289,1,-1,-1,-1,-1,4103,1,-1,220,132,38,132,7,1377,12826,196,55,2059,130,-1,8037,-1,4,-1,30,-1,-1,9,4,-1,50,-1,13,0,18,-1,82,-1,-1,178,0,-1,1121,-1,-1,-1,4525,976,-1,10,6,-1,-1,-1,118,98,-1,7694,4077,6,10,-1,-1,-1,-1,-1,702,-1,1691,17,-1,2,-1,168,226,358,-1,0,-1,5214,-1,378,-1,-1,26555,7661,16345,155,124,341,-1,-1,0,92779,370,-1,156,0,-1,3080,215,39,146,27,334,25,16164,-1,-1,4,-1,150,-1,2284,28,-1,0,1,720,31,-1,3,27,38,8117,135,59,-1,-1,-1,27,237,17723,4,-1,-1,-1,7083,7,4,-1,-1,125,10,14,1473,5,193,-1,413,62,1099,640,83,-1,3836,-1,19,24,67,96,2,920,0,27,0,336,-1,0,-1,-1,2169,10,8,4,1,6,-1,-1,303,-1,-1,97,8,1,-1,1174,12569,18,-1,3,-1,302,146,-1,-1,344,20,-1,676,-1,5,1737,7037,9,-1,0,-1,-1,134,-1,6,-1,-1,-1
Køge,349,3,3,1613,48,-1,0,-1,9,10,-1,-1,-1,0,-1,0,-1,-1,9,10,10,-1,109,27,0,0,9,-1,-1,0,0,30,-1,0,5,-1,-1,-1,-1,-1,0,-1,14,-1,0,273,133,191,-1,12,-1,540,23,-1,-1,5,-1,-1,15,-1,11,0,-1,-1,0,-1,32,-1,0,0,6,3,33,6,-1,-1,-1,-1,5,0,-1,682,-1,-1,152,0,4894,10,0,2,9,0,129,-1,-1,1,99,9,-1,293,259,0,-1,1,-1,-1,1,0,-1,1,-1,3,0,2,-1,7,-1,-1,7,0,-1,237,-1,-1,-1,442,56,-1,0,0,-1,-1,-1,10,-1,314,374,732,3,5,-1,-1,-1,-1,-1,32,-1,54,0,-1,0,-1,4,-1,30,-1,0,-1,389,-1,-1,92,-1,2554,5355,-1,-1,91,697,-1,-1,0,4667,84,-1,7,0,-1,131,-1,10,2,0,46,0,-1,-1,-1,0,152,27,-1,153,0,-1,0,0,105,0,-1,0,1,2,242,27,9,-1,-1,-1,10,11,7916,1,124,-1,-1,-1,0,0,-1,-1,14,0,0,70,0,16,-1,69,6,76,36,8,-1,143,-1,12,1,0,5,19,35,0,0,0,23,-1,5,-1,-1,-1,0,0,0,4,2,-1,-1,11,-1,-1,12,0,0,-1,63,539,1,-1,0,-1,16,8,-1,-1,6,8,-1,-1,-1,0,81,4548,0,-1,0,-1,-1,11,-1,11,-1,-1,-1
Køge Nord,1496,0,2,4625,75,-1,0,-1,39,31,-1,-1,-1,0,-1,4,-1,-1,41,22,7,-1,302,106,10,7,93,-1,-1,23,0,66,-1,0,20,-1,-1,-1,-1,-1,0,-1,40,-1,4,829,45,28,-1,-1,-1,2293,22,-1,-1,24,-1,-1,27,-1,25,0,-1,-1,0,-1,55,-1,0,0,4,4,90,11,-1,-1,-1,-1,75,0,-1,154,-1,-1,463,0,-1,12,71,8,43,0,355,-1,-1,3,268,19,-1,991,50,2,-1,3,-1,-1,6,6,-1,14,-1,1,0,13,-1,42,-1,-1,34,0,-1,2,-1,-1,-1,22,9,-1,0,1,-1,-1,-1,6,-1,-1,1135,2100,0,40,-1,-1,-1,-1,-1,78,-1,288,6,-1,2,-1,7,-1,90,-1,0,-1,1772,-1,-1,40,-1,9405,2617,-1,-1,377,110,-1,-1,0,23191,289,-1,107,6,-1,393,-1,59,10,4,195,5,-1,-1,-1,4,-1,58,-1,230,1,-1,0,4,153,0,-1,3,2,12,1126,37,40,-1,-1,-1,15,64,9488,13,40,-1,-1,-1,0,0,-1,-1,44,4,1,292,0,62,-1,0,2,130,70,40,-1,157,-1,13,6,15,16,2,49,0,0,29,129,-1,3,-1,-1,-1,2,5,12,1,0,-1,-1,18,-1,-1,9,0,0,-1,250,2237,1,-1,0,-1,127,28,-1,-1,34,6,-1,-1,-1,0,158,1390,0,-1,5,-1,-1,105,-1,16,-1,-1,-1
Langeskov,156,0,0,576,-1,89,0,34,1,11,7,1,11,1,0,0,44,11,6,0,0,5,57,7,-1,0,20,7,13,0,0,6,17,0,20,26,32,78,90,14,0,0,-1,11,4,253,2,17,83,13,58,336,0,20,15,-1,3,0,-1,5,19,0,93,8,0,0,15,2,0,0,19,3,7,5,3,21,3,14,9,0,234,63,1,64,47,4,129,0,-1,6,11,0,18,49,0,-1,20,1,11,108,8,0,3,0,33,32,0,0,29,-1,1474,2,0,0,3,7,3,12,71,0,3,0,7,7,4,-1,-1,0,0,1,10,4,47,1,0,8,548,-1,0,-1,6586,1151,802,30,149,-1,0,20,4,10,0,0,3,6,54,49,0,13,556,13,1,9,437,-1,161,223,0,-1,23,24,955,0,-1,-1,11,10,-1,10,20,0,44,2,0,-1,0,973,8236,0,-1,2,12,8,40,0,20,0,0,32,0,64,0,-1,0,82,9,4,2,0,16,4,5,-1,0,3,3,8,268,0,0,17,1,-1,-1,0,21,0,4,47,0,1,-1,-1,0,23,36,23,6,6,0,18,0,11,0,0,0,-1,34,0,0,13,6,1,0,0,1,0,4417,10,10,8,38,2,0,0,3,70,378,1,0,0,12,34,2,50,0,5,0,0,2,21,0,35,106,8,9,0,3,3,-1,4,4,0,61,551
Langgade,146,0,3,103,0,-1,1,-1,0,1,-1,-1,-1,0,-1,0,-1,-1,0,1,0,-1,0,6,0,0,1,-1,-1,3,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,9,0,-1,-1,-1,-1,59,4,-1,-1,0,-1,-1,0,-1,0,0,-1,7,0,-1,0,-1,0,0,10,0,5,0,-1,29,-1,-1,0,0,-1,-1,-1,-1,9,0,-1,0,0,0,0,0,17,190,3,0,1,0,-1,24,-1,0,-1,1,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,93,-1,-1,-1,30,4,-1,0,0,-1,-1,-1,0,0,-1,25,31,0,7,-1,-1,-1,-1,-1,0,-1,7,0,-1,0,-1,0,3,0,-1,0,-1,21,-1,6,-1,-1,184,93,164,2,0,5,-1,-1,0,294,0,-1,3,4,-1,3,9,0,0,0,6,3,146,-1,-1,0,-1,6,-1,1,0,-1,0,0,10,0,-1,4,0,0,16,2,0,-1,-1,-1,0,0,97,0,-1,-1,-1,47,0,0,-1,-1,0,0,0,8,0,0,-1,0,4,26,27,0,-1,7,-1,0,0,2,0,0,0,0,0,0,0,-1,0,-1,-1,-1,4,1,0,0,0,-1,-1,0,-1,-1,4,0,0,-1,7,82,0,-1,0,-1,19,0,-1,-1,4,0,-1,-1,-1,0,3,118,0,-1,0,-1,-1,4,-1,0,-1,-1,-1
Langå,13421,18,113,-1,37,5,-1,1,-1,91,2,0,0,3,0,1,3,0,-1,-1,0,17,212,2,0,1,68,10,0,125,1,35,0,123,72,4,1,11,15,7,0,0,25,0,-1,542,1,65,4,0,4,1116,160,13,7,0,0,0,7,0,95,3,9,14,0,0,43,3,0,0,0,20,-1,20,0,2,0,30,349,0,575,130,2,1,1004,0,23,-1,0,0,363,0,-1,32,1,1,4095,17,7,4984,30,1,5,23,2,43,7,0,0,0,495,49,0,-1,0,9,0,0,41,0,0,1,0,0,0,4,0,0,2,0,0,0,56,9,0,56,903,226,0,0,16220,258,1904,91,291,29,7,-1,-1,1,0,0,1877,6,91,20,22,0,406,1,1,40,9,267,137,206,1,32,7,16,228,2,3352,4,0,42,0,2,-1,4,0,2,0,13,36,514,661,0,0,19,-1,3,230,-1,4,0,0,-1,34,3,21,2,184,-1,1440,22,6,0,0,5,467,748,0,35,4,3,185,0,-1,3,0,10,0,-1,1059,0,318,8,0,-1,24,4,179,28,320,6,2,27,11,1,1,58,17,0,156,39,32,0,0,39,3,0,0,113,13,-1,447,3,25,0,4,3,2,0,26,181,2420,0,0,1,0,-1,-1,14,0,10,135,0,2,0,0,141,110,40,4,2,0,0,4,8,0,7,132,161
Laven,253,0,0,-1,0,0,-1,4,4,1,0,1,0,0,0,-1,1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,4,5,0,4,4,0,0,4,0,0,1,0,19,-1,7,0,4,0,0,0,87,6,0,0,0,1,0,0,0,-1,2,1,0,0,1,0,0,2,1,3,0,-1,-1,0,0,0,0,-1,247,1,5,0,1,-1,-1,9,-1,0,0,13,0,26,0,0,0,78,0,14,-1,9,0,0,0,10,0,0,0,0,0,14,0,0,-1,0,-1,0,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,4,0,33,3,0,0,243,10,17,0,6,4,0,-1,-1,0,0,0,2,0,0,1,0,0,72,0,0,0,4,20,0,4,0,0,0,6,25,0,2897,0,0,1,4,0,-1,4,0,6,0,13,1,2,13,0,0,0,-1,0,3,-1,0,0,0,-1,1,5,0,0,2,-1,4,2,0,0,0,0,1,16,0,0,0,0,0,0,-1,0,0,0,0,0,12,0,4,0,0,-1,5,4,4,1,2,0,247,0,6,-1,0,9,0,0,0,4,0,2,0,2,0,0,0,0,1,-1,11,0,4,0,17,6,0,0,0,0,-1,-1,0,1,0,-1,-1,0,1,6,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,3
Lejre,35,0,0,226,0,-1,0,-1,2,4,-1,-1,-1,0,-1,0,-1,-1,0,0,0,-1,17,2,0,0,26,-1,-1,0,0,0,-1,0,7,-1,-1,-1,-1,-1,0,-1,1,-1,0,40,1,17,-1,-1,-1,40,3,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,6,-1,0,0,0,0,0,2,-1,-1,-1,-1,1,0,-1,92,-1,-1,31,0,-1,0,13,0,0,0,2,-1,-1,0,28,0,-1,32,22,0,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,8,0,-1,-1,-1,-1,-1,329,67,-1,0,0,-1,-1,-1,7,-1,-1,70,9,0,6,-1,-1,-1,-1,-1,8,-1,2,0,-1,0,-1,0,1,2,-1,0,-1,48,-1,-1,-1,-1,172,63,-1,-1,0,7,-1,-1,0,433,0,-1,3,0,-1,25,-1,0,0,0,4,0,-1,-1,-1,0,-1,0,-1,3,3,-1,0,0,7,0,-1,0,0,0,36,2,0,-1,-1,-1,0,2,-1,0,10,-1,-1,-1,0,0,-1,-1,0,0,0,13,0,0,-1,-1,0,33,4,0,-1,37,-1,0,0,0,3,0,6,1,0,0,1,-1,0,-1,-1,-1,5,0,1,0,0,-1,-1,0,-1,-1,0,0,0,-1,23,81,0,-1,0,-1,6,0,-1,-1,0,0,-1,-1,-1,0,5,139,0,-1,0,-1,-1,4,-1,0,-1,-1,-1
Lem,3,0,0,367,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,2,1,-1,0,20,-1,0,4,1,0,0,0,0,2,0,-1,0,0,1,1,0,0,0,0,0,0,1,205,0,0,0,0,0,16,0,0,1,0,1,0,0,0,4,4,1,0,0,0,0,0,8,-1,-1,0,0,-1,0,0,0,0,0,-1,0,1,0,0,-1,-1,1,0,0,-1,2,0,1,0,0,0,-1,0,0,21,0,18,0,2,0,0,2,0,0,0,1,2,0,0,0,-1,0,0,5,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,27,0,0,0,24,0,2,0,2,0,0,0,0,0,-1,0,0,0,4,0,2,0,7,2,0,0,1,0,1,0,0,0,0,0,3,0,57,0,0,0,0,0,5,0,0,10,6,0,-1,5,1,0,0,0,2,0,5,2,0,0,-1,137,0,0,3,0,0,38,25,-1,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,159,-1,0,0,0,0,4,0,0,0,11,0,-1,0,11,0,-1,0,-1,0,0,1,0,-1,0,0,0,0,0,19,-1,5,3,0,3,0,0,-1,-1,-1,0,8,27,3,0,-1,0,39,63,0,0,-1,4,0,0,0,0,1,1,0,0,1,0,0,0,0,-1,2,0,3
Lille Skensved,0,0,0,6,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,1,1,-1,-1,-1,3,0,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,5,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,1,0,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,12,4,-1,0,0,-1,-1,-1,0,-1,-1,7,161,0,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,6,-1,-1,16,-1,0,26,-1,-1,0,6,-1,-1,0,20,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,4,-1,-1,-1,0,0,74,0,5,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,-1,3,0,4,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,-1,-1,4,0,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,29,0,-1,0,-1,-1,4,-1,0,-1,-1,-1
Lindholm,-1,-1,-1,4225,10,0,1,0,-1,1,7,0,0,0,0,0,0,0,1205,4,0,8,44,22,0,0,1,0,0,-1,0,8,0,0,1,0,3,0,0,0,0,0,6,0,0,134,0,0,3,0,0,197,11269,3,10,0,0,0,3,3,1,0,7,0,0,0,20,0,4,0,4,2,72,4,0,0,0,1,10,0,49,18,0,0,154,10,1,15,0,0,-1,-1,-1,8,0,0,24,3,0,290,4,0,0,2,0,0,0,0,0,0,64,5,4,51,0,72,0,0,3,2,0,0,0,3,0,0,0,0,0,4,13,0,0,8,0,2,92,40,387,0,1278,11,168,9,15,3,0,1920,2,0,0,0,-1,0,16,10,0,0,40,3,1,1,6,65,28,19,0,0,0,0,33,0,473,10,0,17,0,1,8938,1,0,0,4,4,2,70,97,0,0,2,36,3,51,0,0,0,0,153,-1,6,0,0,-1,307,33,15,1,0,0,0,-1,77,0,1,0,3,18,0,0,0,3,4,0,10,31,0,-1,7,6,13,50,35,-1,7,46,0,0,1,0,3,0,12,0,0,414,5,7,0,1,4,0,0,0,0,1,10,78,0,30,0,0,4,0,4,0,8,469,1,3,0,0,92,11,3,0,0,11,0,0,0,0,21,24,-1,3,0,0,3,0,0,10,0,10,8
Lundby,31,0,0,81,0,54,0,22,0,5,21,8,10,0,3,0,63,26,0,0,0,-1,5,1,0,0,0,6,81,6,0,0,25,0,0,37,16,2,57,9,0,0,0,38,0,22,-1,2,36,0,46,36,0,19,10,0,56,17,3,12,4,0,106,-1,0,55,2,13,0,0,0,0,0,0,15,-1,2,69,6,0,118,16,-1,79,6,0,99,4,0,0,7,0,1,65,-1,0,15,0,43,12,16,0,58,0,45,6,0,0,32,0,597,0,0,0,0,0,26,28,0,0,49,9,10,27,8,6,1,23,0,0,4,36,19,0,0,31,24,33,0,0,3594,111,226,-1,-1,1,3,2,0,7,0,-1,1,-1,0,120,0,10,53,18,1,8,75,201,-1,-1,-1,0,-1,15,1081,0,414,4,12,0,0,15,4,0,0,0,0,10,0,-1,862,0,0,13,0,33,9,0,65,0,0,26,0,7,0,0,0,26,5,2,4,1,16,0,1,-1,0,2,17,39,-1,0,0,24,5,0,0,1,1,0,0,84,4,0,0,4,0,20,0,45,1,0,0,0,0,2,0,0,0,0,83,0,-1,132,38,0,0,0,0,0,1389,11,0,3,65,0,0,0,2,4,10,0,1,0,28,0,0,-1,4,1,0,0,1,5,0,8,-1,0,9,0,5,3,0,-1,0,0,220,447
Lunderskov,267,2,6,2821,-1,0,0,38,3,14,0,7,3,0,1,2,14,0,28,5,0,7,-1,7,10,9,-1,0,4,0,-1,-1,4,0,-1,11,0,3,123,7,10,0,-1,20,48,2927,6,1,43,0,6,-1,0,20,0,6,3,3,-1,0,-1,19,16,3,-1,0,315,0,5,9,4,-1,41,0,3,0,27,0,-1,0,150,23,0,13,244,4,148,29,8,12,0,0,31,26,0,0,37,-1,20,408,4,0,3,4,2,1,0,-1,0,10,220,4,0,5,0,22,3,2,-1,13,0,1,0,10,2,0,0,0,-1,1,3,0,27,124,0,4,-1,161,0,0,3205,62,405,26,75,40,0,76,0,2,4,0,10,0,-1,80,0,0,-1,3,10,9,22,141,64,51,0,-1,0,0,88,0,2706,31,10,381,13,7,111,0,-1,-1,-1,21,49,498,442,0,0,30,11,1,-1,0,11,-1,1,281,0,0,1,0,1,353,33,72,0,3,51,-1,6,352,1,1,0,0,147,57,0,34,3,1,0,1,61,0,0,26,0,17,152,35,3,4,781,20,38,-1,28,-1,2,255,15,-1,0,35,10,0,0,1,0,22,31,4,2,0,275,8,-1,1,28,394,70,25,11,-1,-1,-1,16,3,3,55,189,10,0,16,0,0,23,0,8,-1,20,11,0,0,0,0,19,3,63,0,21,97
Lyngby,221,3,0,9067,17,-1,0,-1,0,81,-1,-1,-1,0,-1,7,-1,-1,27,2,0,-1,48,25,0,5,12,-1,-1,15,0,0,-1,0,10,-1,-1,-1,-1,-1,0,-1,13,-1,0,308,28,-1,-1,-1,-1,460,10,-1,-1,7,-1,-1,8,-1,20,0,-1,300,0,-1,25,-1,0,0,24,0,12,1,-1,699,-1,-1,3,0,-1,-1,-1,-1,171,0,-1,14,36,1,35,0,46,4054,95,0,64,1,-1,357,-1,0,-1,1,-1,-1,1,0,-1,10,-1,0,10,2,-1,11,-1,-1,21,0,-1,203,-1,-1,-1,624,200,-1,0,0,-1,-1,-1,3,36,-1,449,573,0,14,-1,-1,-1,-1,-1,49,-1,20,1,-1,0,-1,10,120,80,-1,0,-1,362,-1,100,-1,-1,2600,1572,4548,169,17,175,-1,-1,0,9100,79,-1,3,6,-1,82,130,2,31,1,164,6,7093,-1,-1,0,-1,39,-1,71,7,-1,0,0,366,3,-1,4,0,0,1027,28,11,-1,-1,-1,8,20,3177,6,-1,-1,-1,1376,5,4,-1,-1,54,0,24,120,0,4,-1,141,46,197,102,3,-1,95,-1,7,0,34,14,0,15,0,0,0,23,-1,5,53,-1,-1,2,4,0,7,8,-1,-1,15,-1,-1,46,0,0,-1,29,809,3,-1,0,-1,94,15,-1,-1,21,0,-1,-1,-1,0,60,974,7,-1,0,-1,-1,15,-1,19,-1,-1,-1
Lyngs,0,0,0,53,0,0,2,0,1,-1,0,0,1,-1,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,-1,4,0,0,0,0,0,-1,0,0,6,0,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,19,0,0,0,0,4,10,0,0,0,0,0,5,17,0,0,-1,0,0,5,-1,14,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,-1,0,61,0,0,0,10,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
